  Nr    Dags.    Timi      Breidd     Lengd   Dypi   M     ML
   1 20210222 004920.387 63.97388 -19.99837  7.151  1.07  0.54
   2 20210222 020650.254 63.89087 -22.31108  5.767  0.92 -0.15
   3 20210222 021538.214 63.87071 -22.30554  5.559  0.82 -0.16
   4 20210222 021553.206 63.84389 -22.48644  2.431  0.56 -0.08
   5 20210222 030124.910 63.87779 -22.45043  0.135  0.51 -0.07
   6 20210222 030819.397 63.86781 -22.47810  3.474  0.25 -0.24
   7 20210222 033919.380 63.88974 -22.39745  3.583  0.37 -0.52
   8 20210222 035601.463 63.86083 -22.30532  1.322  0.45 -0.16
   9 20210222 040836.976 63.82113 -22.50821  4.794  1.01  0.43
  10 20210222 042313.603 63.85114 -22.39573  4.963  1.26  0.02
  11 20210222 043855.406 63.87834 -22.31850  4.977  0.74 -0.30
  12 20210222 044904.499 65.11150 -16.42764  6.189  0.47  0.30
  13 20210222 045608.194 64.93808 -18.97283  7.825  1.67  1.53
  14 20210222 072004.558 63.87029 -22.30481  4.095  0.87 -0.03
  15 20210222 074528.041 66.28435 -16.72192  6.177  1.04  1.06
  16 20210222 102750.972 64.65417 -17.52200  3.473  1.96  1.57
  17 20210222 104959.139 63.36488 -24.16922  5.129  2.26  2.73
  18 20210222 105536.108 63.63422 -23.37137 12.344  2.48  2.49
  19 20210222 110331.672 63.62596 -23.36267 12.373  1.54  1.90
  20 20210222 110841.698 63.62590 -23.34050 13.724  1.83  2.09
  21 20210222 112110.179 63.64482 -23.37307 14.107  1.79  2.10
  22 20210222 112133.667 63.63310 -23.36504 12.304  2.04  2.16
  23 20210222 113801.933 63.88824 -22.31682  5.792  1.09 -0.13
  24 20210222 113956.905 66.21030 -17.64360  8.406  1.08  1.21
  25 20210222 115637.463 63.65585 -23.36768 15.015  2.06  2.16
  26 20210222 115820.941 63.43850 -24.29932  0.812  2.28  2.91
  27 20210222 120458.284 63.62162 -23.34842 10.085  1.97  1.88
  28 20210222 123751.952 63.82949 -22.47238  4.329  0.78  0.34
  29 20210222 130200.898 63.88467 -22.32414  6.210  0.93  0.16
  30 20210222 132153.399 63.89262 -22.30978  5.539  0.83  0.13
  31 20210222 132416.779 64.00794 -16.49458 10.475  0.89  0.46
  32 20210222 134943.414 66.20618 -17.64065  7.866  0.87  1.17
  33 20210222 135254.189 63.58890 -23.29978  8.847  1.62  1.93
  34 20210222 143845.506 65.15648 -16.33478  6.074  0.94  0.80
  35 20210222 144546.501 65.15800 -16.33519  5.812  0.58  0.52
  36 20210222 145310.056 65.15268 -16.34765  7.489  1.32  1.24
  37 20210222 150601.559 63.99137 -20.69057  6.479  1.03  0.62
  38 20210222 151210.557 63.90459 -22.25487  6.063  1.10  0.25
  39 20210222 151859.967 66.22385 -17.65876 10.064  1.21  1.21
  40 20210222 154300.685 66.21885 -17.64312  7.459  0.81  1.03
  41 20210222 162007.093 64.66575 -17.38155  5.115  0.86  0.57
  42 20210222 162518.924 65.14755 -16.34838 10.263  1.09  0.99
  43 20210222 164921.050 64.03532 -21.55258  6.585  0.70  0.10
  44 20210222 171512.814 64.05176 -20.95845  5.619  0.84  0.51
  45 20210222 173054.186 63.88850 -22.31726  5.852  0.85  0.06
  46 20210222 173752.371 66.46344 -17.60701  5.918  1.57  1.17
  47 20210222 174955.578 64.12786 -21.39509  5.612  1.10  0.80
  48 20210222 175800.587 63.87962 -22.38328  0.466  0.19 -0.69
  49 20210222 175818.959 63.88073 -22.36730  4.419  1.30  0.19
  50 20210222 180629.331 63.88161 -22.36315  3.923  0.67 -0.19
  51 20210222 183407.890 63.88898 -22.31362  5.536  0.76 -0.27
  52 20210222 183441.332 66.22108 -18.56736  7.460  2.42  2.53
  53 20210222 184152.069 66.22317 -18.55155  8.259  1.27  1.65
  54 20210222 184547.710 63.88870 -22.31559  5.478  0.85  0.29
  55 20210222 185427.056 63.89051 -22.30989  5.875  1.36  0.89
  56 20210222 185518.246 63.88835 -22.31537  5.647  0.41 -0.28
  57 20210222 190605.873 63.87314 -22.39966  4.429  0.92 -0.14
  58 20210222 191044.994 66.21503 -17.66142 10.640  0.66  0.78
  59 20210222 191220.327 63.89122 -22.31303  5.672  1.65  1.03
  60 20210222 191618.638 63.87244 -22.40177  4.803  1.24  0.37
  61 20210222 191905.543 63.88668 -22.31682  5.845  0.91 -0.06
  62 20210222 192510.223 63.88895 -22.31853  5.486  0.43 -0.44
  63 20210222 193213.846 63.89196 -22.30976  5.179  0.56 -0.05
  64 20210222 194829.630 63.89717 -22.26051  6.187  1.28  0.22
  65 20210222 195619.569 63.89176 -22.31291  5.405  0.71  0.15
  66 20210222 201744.851 63.94178 -21.42415  6.369  0.90  0.22
  67 20210222 204042.741 66.22316 -18.56274 12.316  0.88  1.23
  68 20210222 205954.891 66.20795 -17.65119 10.928  0.50  0.82
  69 20210222 211546.874 66.20596 -17.64363 10.167  1.21  1.16
  70 20210222 212652.540 65.70605 -16.80609  3.837  0.79  0.62
  71 20210222 213718.949 66.22643 -18.55805  5.220  1.36  1.42
  72 20210222 230053.339 66.21497 -17.65962  9.084  0.88  1.12
  73 20210222 230736.040 66.21332 -17.64939  8.337  0.61  0.92
  74 20210222 231630.063 66.64310 -17.90052 10.605  1.78  1.91
  75 20210222 233339.661 63.84868 -22.26450  4.764  0.89  0.00
  76 20210222 233447.989 64.00649 -21.61539  7.702  0.34  0.21
  77 20210223 014439.417 63.88350 -22.25331  1.078  0.53 -0.04
  78 20210223 020918.725 63.88791 -22.25153  0.609  0.49  0.00
  79 20210223 021558.829 66.23410 -17.67858  5.596  0.83  0.79
  80 20210223 030926.808 66.22202 -17.66863 10.840  1.91  2.07
  81 20210223 032618.822 66.20930 -17.64932  9.189  1.32  1.21
  82 20210223 035423.229 66.64013 -17.88598  9.792  1.19  1.41
  83 20210223 035722.014 66.22134 -17.66511 10.137  1.29  1.41
  84 20210223 041345.715 66.65075 -17.89747  9.977  1.18  1.45
  85 20210223 041850.066 63.87944 -22.08430  5.711  1.03  0.54
  86 20210223 043219.183 64.12649 -21.39438  5.628  0.98  0.37
  87 20210223 050811.117 66.64337 -17.86200  7.696  1.14  1.34
  88 20210223 060953.183 66.65650 -17.91168 11.382  1.48  1.92
  89 20210223 063648.544 64.63470 -17.43399  5.983  1.38  1.00
  90 20210223 063859.236 63.83409 -22.44434  3.652  0.30 -0.98
  91 20210223 070252.452 63.92131 -21.99644  3.344  1.21  0.61
  92 20210223 074220.011 64.34724 -20.54122  4.769  0.96  1.33
  93 20210223 074715.354 66.22270 -17.65511  7.802  0.95  1.11
  94 20210223 080759.248 64.34297 -20.52470 10.450  0.73  1.17
  95 20210223 081930.803 63.84514 -22.44514  2.169  1.08  0.28
  96 20210223 081958.462 63.83587 -22.44557  4.002  0.98  0.09
  97 20210223 082123.983 63.84101 -22.44929  3.755  1.18  0.34
  98 20210223 082338.628 63.83764 -22.44499  3.932  1.28  0.53
  99 20210223 082510.440 63.83700 -22.44264  3.138  0.26 -0.36
 100 20210223 082726.013 63.84318 -22.44863  1.939  0.99 -0.08
 101 20210223 083819.879 66.22250 -17.67048 10.976  1.61  1.45
 102 20210223 084542.409 66.58254 -18.96955  4.507  1.45  1.91
 103 20210223 085104.279 63.87022 -22.31306  3.808  1.18  0.54
 104 20210223 085132.331 63.87072 -22.31040  3.887  1.51  0.83
 105 20210223 085248.365 63.87184 -22.31278  3.849  1.07  0.30
 106 20210223 085306.903 63.86928 -22.31587  3.655  0.76 -0.04
 107 20210223 085333.945 63.89790 -22.29533  4.525  0.89 -0.28
 108 20210223 085621.002 63.86964 -22.31614  3.761  0.89  0.12
 109 20210223 090012.670 63.87969 -22.30154  2.619  1.45  0.73
 110 20210223 090119.632 63.86765 -22.39770  3.251  0.58 -0.29
 111 20210223 090215.306 63.86579 -22.32288  3.948  0.96  0.42
 112 20210223 090245.896 63.86906 -22.31610  3.765  0.89  0.05
 113 20210223 090403.219 63.87315 -22.31197  3.614  1.11  0.24
 114 20210223 090505.674 63.87089 -22.31211  3.778  1.48  0.74
 115 20210223 090606.427 63.87229 -22.31098  3.914  1.93  1.20
 116 20210223 090708.762 63.87250 -22.30888  3.672  1.36  0.75
 117 20210223 090753.014 63.87216 -22.31394  3.593  1.46  0.72
 118 20210223 090843.051 65.88731 -16.96292  5.419  0.87  0.44
 119 20210223 090902.730 63.87080 -22.31481  3.892  0.86 -0.04
 120 20210223 091619.165 63.87442 -22.30899  3.857  1.71  0.80
 121 20210223 091756.213 63.87300 -22.31232  3.919  1.21  0.50
 122 20210223 091829.123 63.87142 -22.31334  3.911  0.88  0.45
 123 20210223 092059.352 63.87167 -22.31635  3.972  1.38  0.86
 124 20210223 092128.959 63.87248 -22.30877  3.875  1.39  0.68
 125 20210223 092325.237 63.86897 -22.32032  3.808  0.91  0.20
 126 20210223 092553.616 63.87119 -22.31616  4.079  0.80 -0.02
 127 20210223 092615.519 63.87217 -22.30969  4.341  1.93  1.22
 128 20210223 092734.289 63.86913 -22.31412  3.614  0.72  0.09
 129 20210223 092836.194 63.87299 -22.31315  4.088  1.17  0.45
 130 20210223 092904.394 63.83314 -22.44026  3.860  0.76  0.20
 131 20210223 092951.979 63.87197 -22.31130  3.704  1.35  0.56
 132 20210223 093009.256 63.86880 -22.31606  3.926  1.18  0.45
 133 20210223 093047.554 63.87111 -22.31435  3.656  1.10  0.51
 134 20210223 093106.811 63.87172 -22.31379  3.580  0.92  0.01
 135 20210223 093124.284 63.87965 -22.30361  2.691  1.03  0.19
 136 20210223 093144.686 63.86953 -22.32270  3.842  0.84  0.19
 137 20210223 093208.397 63.87106 -22.31194  4.353  2.28  1.69
 138 20210223 093224.334 63.87391 -22.30776  4.152  2.03  1.34
 139 20210223 093254.950 63.87393 -22.31157  3.601  1.53  0.78
 140 20210223 093333.137 63.87295 -22.31347  4.026  1.30  1.05
 141 20210223 093351.941 63.87444 -22.30837  4.694  2.08  1.67
 142 20210223 093532.021 63.87559 -22.30150  4.522  1.71  1.40
 143 20210223 093601.953 63.87328 -22.30689  3.968  2.05  1.66
 144 20210223 093732.680 63.86997 -22.31516  3.319  0.85  0.45
 145 20210223 093830.711 63.87386 -22.31008  4.191  1.23  0.44
 146 20210223 093851.176 63.87020 -22.31446  3.334  0.84  0.01
 147 20210223 093906.728 63.87423 -22.30495  4.516  1.99  1.36
 148 20210223 093955.685 63.87229 -22.31091  3.677  1.25  0.84
 149 20210223 094022.168 63.86921 -22.31153  3.959  0.85  0.34
 150 20210223 094051.561 63.86971 -22.30997  3.822  0.78  0.38
 151 20210223 094154.579 63.87037 -22.32145  4.057  1.05  0.26
 152 20210223 094227.592 63.85250 -22.63999  5.318  1.06  0.45
 153 20210223 094316.820 63.87432 -22.30719  4.360  2.07  1.69
 154 20210223 094332.543 63.86544 -22.31334  4.198  1.21  0.87
 155 20210223 094334.503 63.87284 -22.31843  4.265  1.40  0.73
 156 20210223 094422.665 63.87262 -22.31100  3.355  1.70  1.22
 157 20210223 094445.756 63.86948 -22.30826  4.005  0.89  0.36
 158 20210223 094535.799 63.86760 -22.31555  2.896  0.87  0.43
 159 20210223 094809.531 63.87280 -22.30864  3.307  1.03  0.81
 160 20210223 094828.859 63.87218 -22.30367  3.667  1.40  0.98
 161 20210223 095033.835 63.87421 -22.30326  3.945  1.63  1.43
 162 20210223 095149.071 63.87170 -22.31857  3.959  1.13  0.57
 163 20210223 095328.507 63.87052 -22.31131  3.192  0.76  0.22
 164 20210223 095529.099 63.87157 -22.30941  4.191  0.85  0.00
 165 20210223 095938.709 63.86991 -22.30984  3.370  1.06  0.29
 166 20210223 100043.920 63.87248 -22.31527  3.474  0.82 -0.11
 167 20210223 100138.015 63.86886 -22.32104  4.275  1.07  0.37
 168 20210223 100300.164 63.87018 -22.30684  3.910  2.00  1.39
 169 20210223 100426.137 63.87512 -22.29961  2.835  0.67  0.04
 170 20210223 100530.816 63.87381 -22.31449  3.299  0.96  0.18
 171 20210223 100556.077 63.86958 -22.31321  3.342  0.43 -0.09
 172 20210223 100806.865 66.62878 -18.97071 10.005  1.57  1.68
 173 20210223 101309.835 63.87053 -22.31073  3.826  0.87  0.33
 174 20210223 102338.932 63.87299 -22.31093  4.308  0.83  0.29
 175 20210223 102533.305 63.87109 -22.31437  3.076  0.86  0.08
 176 20210223 102833.249 66.22543 -17.65373  7.558  0.83  1.15
 177 20210223 103448.502 63.87318 -22.31010  4.085  0.86  0.56
 178 20210223 104212.473 63.87139 -22.31148  4.199  1.31  0.49
